AMZN
TMO
NEE
ASML
HD
LOW
BRK-B
GOOGL
CRM
UNH
MCD
COST
TSM
AON
A
ALGN
MKC
KLAC
MSCI
VRSK
MCO
SNPS
CDNS
CTAS
WM
IDXX
PAYC
ISRG
RMD
MA
V
WMT
AVGO
NVDA
AMD
SNE
PYPL
ACN
UNP
TMUS
JD
SPGI
NOW
INTC
KO
LIN
TXN
QCOM
CHTR
SHOP
ADBE
DHR
PEP
DIS
AZN
NFLX
ABT
CSCO
NKE
FB
BABA
TSLA
AAPL
